"DateTime","Dota 2","Counter-Strike 2","PUBG: BATTLEGROUNDS","Hogwarts Legacy","New World","Baldur's Gate 3","Cyberpunk 2077","ELDEN RING","Goose Goose Duck","Lost Ark"
"1970-06-14 00:00:00",651640,35238,1586565,13199,29884,,16122,47397,8442,288234
"1970-06-15 00:00:00",506467,29588,1539619,12460,32085,,13945,38506,8772,290423
"1970-06-16 00:00:00",506467,29340,1586049,11821,33476,,12019,34276,13602,243626
"1970-06-17 00:00:00",561592,27967,1533823,11438,29636,,11615,35418,15858,296884
"1970-06-18 00:00:00",561501,27481,1536429,11575,28996,,11502,35050,11060,311828
"1970-06-19 00:00:00",442513,25874,1767366,13400,28435,,12129,37830,8171,334027
"1970-06-20 00:00:00",587722,28358,1724861,15611,28333,,14836,42939,8257,352852
"1970-06-21 00:00:00",413692,30390,1586492,12626,28802,,15499,45151,7511,352344
"1970-06-22 00:00:00",601749,35597,1487069,12106,30053,,13329,38884,7604,340560
"1970-06-23 00:00:00",584682,35045,1508372,11669,31722,,10971,36056,13426,281060
"1970-06-24 00:00:00",540407,34252,1506084,10852,28908,,10935,35867,14172,156805
"1970-06-25 00:00:00",556087,31613,1477682,10962,27864,,11348,35167,10076,252770
"1970-06-26 00:00:00",673496,27439,1471233,12795,27282,,11152,37416,7745,151541
"1970-06-27 00:00:00",457656,27935,1408530,15022,26371,,13699,43930,7388,185135
"1970-06-28 00:00:00",645254,28986,1495313,12382,26628,,14397,46138,6697,203445
"1970-06-29 00:00:00",634717,33189,1432449,11269,27581,,10542,35746,6830,220056
"1970-06-30 00:00:00",599540,33110,1290032,10758,29360,,10088,35378,9713,181785
"1970-07-01 00:00:00",502059,32053,1285109,10155,26256,,9539,33021,11043,116685
"1970-07-02 00:00:00",577628,28067,1359864,9965,26692,,9304,32699,8039,121437
"1970-07-03 00:00:00",574509,27828,1524462,11740,26006,,9868,34801,6011,131118
"1970-07-04 00:00:00",572672,27767,1688343,13644,31612,,12165,41241,6714,137042
"1970-07-05 00:00:00",626353,27851,1637530,10751,31447,,13308,43177,5527,133695
"1970-07-06 00:00:00",622623,31712,1578485,10728,35215,,10261,34150,6664,147840
"1970-07-07 00:00:00",555071,31543,1520207,9674,37283,,9466,33560,9071,171335
"1970-07-08 00:00:00",552337,30443,1440186,9722,31208,,9013,32808,9768,225391
"1970-07-09 00:00:00",544645,27140,1289154,9637,30645,,8509,32101,7475,239071
"1970-07-10 00:00:00",558732,28512,1356343,11082,29637,,10296,34813,5802,228162
"1970-07-11 00:00:00",581086,28767,1336887,12918,31036,,12611,42524,6281,248196
"1970-07-12 00:00:00",619653,32166,1353031,10072,32760,,13602,44015,5432,240933
"1970-07-13 00:00:00",613297,30889,1295000,9334,36364,,10398,41589,5688,227548
"1970-07-14 00:00:00",576990,30876,1297869,9008,37846,,10136,32651,7336,187040
"1970-07-15 00:00:00",548326,28744,1306329,9007,31656,,9804,32718,8173,224258
"1970-07-16 00:00:00",551409,25903,1244353,9378,30978,,9797,31775,6073,238427
"1970-07-17 00:00:00",575760,25812,1309303,11237,30952,,10956,34133,5052,252565
"1970-07-18 00:00:00",604594,25131,1335704,13434,30116,,14158,42624,5064,264904
"1970-07-19 00:00:00",634532,25565,1324480,10394,31264,,15703,45475,4592,245050
"1970-07-20 00:00:00",642435,30029,1285515,9911,30975,,12523,31859,4896,216840
"1970-07-21 00:00:00",417186,29917,1284166,9748,31680,,12391,31387,7000,209736
